              ft_cal  |                root  |                ft calorimeter  |                                             0 0 0  |                                   0 0 0  | 1437f4   |            Polycone  |0.0*deg 360*deg 6*counts 40*mm 40*mm 40*mm 52*mm 100*mm 100*mm 700*mm 700*mm 238*mm 238*mm 238*mm 238*mm 1847.71*mm 2098*mm 2237.6*mm 2249.61*mm 2249.61*mm 2269.6*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
ft_cal_crystal_volume  |              ft_cal  | ft calorimeter crystal volume  |                                             0 0 0  |                                   0 0 0  | 1437f4   |            Polycone  |0.0*deg 360*deg 2*counts 51*mm 51*mm 180.5*mm 180.5*mm 1887.7*mm 2164*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    ft_cr_volume_1_9  |ft_cal_crystal_volume  |ft crystal mother volume (h:1, v:9)  |                    -160.65*mm -38.25*mm 1993.8*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                      7.65*mm 7.65*mm 104*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       ft_cr_apd_1_9  |ft_cal_crystal_volume  |     ft crystal apd (h:1, v:9)  |                    -160.65*mm -38.25*mm 2102.3*mm  |                                   0 0 0  | 99CC66   |                 Box  |                                        7.5*mm 7.5*mm 3.5*mm  |             ft_peek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        ft_cr_wr_1_9  |    ft_cr_volume_1_9  |        ft wrapping (h:1, v:9)  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                    7.565*mm 7.565*mm 104*mm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           ft_cr_1_9  |        ft_cr_wr_1_9  |         ft crystal (h:1, v:9)  |                                    0*mm 0*mm 4*mm  |                                   0 0 0  | 836FFF   |                 Box  |                                        7.5*mm 7.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                 ih manual 1 iv manual 9 
       ft_cr_led_1_9  |        ft_cr_wr_1_9  |     ft crystal led (h:1, v:9)  |                                 0*mm 0*mm -100*mm  |                                   0 0 0  | EEC900   |                 Box  |                                          7.5*mm 7.5*mm 4*mm  |             ft_peek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   ft_cr_volume_1_10  |ft_cal_crystal_volume  |ft crystal mother volume (h:1, v:10)  |                    -160.65*mm -22.95*mm 1993.8*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                      7.65*mm 7.65*mm 104*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      ft_cr_apd_1_10  |ft_cal_crystal_volume  |    ft crystal apd (h:1, v:10)  |                    -160.65*mm -22.95*mm 2102.3*mm  |                                   0 0 0  | 99CC66   |                 Box  |                                        7.5*mm 7.5*mm 3.5*mm  |             ft_peek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       ft_cr_wr_1_10  |   ft_cr_volume_1_10  |       ft wrapping (h:1, v:10)  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                    7.565*mm 7.565*mm 104*mm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          ft_cr_1_10  |       ft_cr_wr_1_10  |        ft crystal (h:1, v:10)  |                                    0*mm 0*mm 4*mm  |                                   0 0 0  | 836FFF   |                 Box  |                                        7.5*mm 7.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 10 
      ft_cr_led_1_10  |       ft_cr_wr_1_10  |    ft crystal led (h:1, v:10)  |                                 0*mm 0*mm -100*mm  |                                   0 0 0  | EEC900   |                 Box  |                                          7.5*mm 7.5*mm 4*mm  |             ft_peek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   ft_cr_volume_1_11  |ft_cal_crystal_volume  |ft crystal mother volume (h:1, v:11)  |                     -160.65*mm -7.65*mm 1993.8*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                      7.65*mm 7.65*mm 104*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
