                 BMT  |                root  |Barrel Micromegas Vertex Tracker  |                                0*mm 0*mm -94.7*mm  |                       0*deg 0*deg 0*deg  |aaaaff3   |                Tube  |              140.000*mm 240.000*mm 385.000*mm 0*deg 360*deg  |               myAir  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_coverlay_C_Layer1_Segment01  |                 BMT  |coverlay C, Layer 1,  Segment 01  |                               0*mm 0*mm 146.79*mm  |                    0*deg 0*deg -150*deg  | fff600   |                Tube  |145.731*mm 145.781*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_coverlay_C_Layer1_Segment02  |                 BMT  |coverlay C, Layer 1,  Segment 02  |                               0*mm 0*mm 146.79*mm  |                     0*deg 0*deg -30*deg  | fff600   |                Tube  |145.731*mm 145.781*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_coverlay_C_Layer1_Segment03  |                 BMT  |coverlay C, Layer 1,  Segment 03  |                               0*mm 0*mm 146.79*mm  |                      0*deg 0*deg 90*deg  | fff600   |                Tube  |145.731*mm 145.781*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_C_Layer1_Segment01  |                 BMT  |CuGround C, Layer 1,  Segment 01  |                               0*mm 0*mm 146.79*mm  |                    0*deg 0*deg -150*deg  | 666600   |                Tube  |145.781*mm 145.782584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_C_Layer1_Segment02  |                 BMT  |CuGround C, Layer 1,  Segment 02  |                               0*mm 0*mm 146.79*mm  |                     0*deg 0*deg -30*deg  | 666600   |                Tube  |145.781*mm 145.782584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_C_Layer1_Segment03  |                 BMT  |CuGround C, Layer 1,  Segment 03  |                               0*mm 0*mm 146.79*mm  |                      0*deg 0*deg 90*deg  | 666600   |                Tube  |145.781*mm 145.782584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_C_Layer1_Segment01  |                 BMT  |   PCB C, Layer 1,  Segment 01  |                                   0*mm 0*mm 21*mm  |                    0*deg 0*deg -150*deg  | 0000ff   |                Tube  |145.782584*mm 145.882584*mm 356*mm 1.17948369625712*deg 117.641032607486*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_C_Layer1_Segment02  |                 BMT  |   PCB C, Layer 1,  Segment 02  |                                   0*mm 0*mm 21*mm  |                     0*deg 0*deg -30*deg  | 0000ff   |                Tube  |145.782584*mm 145.882584*mm 356*mm 1.17948369625712*deg 117.641032607486*deg  |               myFR4  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_C_Layer1_Segment03  |                 BMT  |   PCB C, Layer 1,  Segment 03  |                                   0*mm 0*mm 21*mm  |                      0*deg 0*deg 90*deg  | 0000ff   |                Tube  |145.782584*mm 145.882584*mm 356*mm 1.17948369625712*deg 117.641032607486*deg  |               myFR4  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_C_Layer1_Segment01  |                 BMT  |CuStrips C, Layer 1,  Segment 01  |                               0*mm 0*mm 146.79*mm  |                    0*deg 0*deg -150*deg  | 353540   |                Tube  |145.882584*mm 145.894584*mm 186.16*mm 4.85554121625849*deg 110.288917567483*deg  |     mybmtc4MMStrips  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
